event_id,event_date,event_type,tax_area,segment,severity,description,source
EVT-2026-0001,2026-01-10,enforcement,Income Tax,Midmarket|Enterprise,5,"Validation of income & expenses begins 1 Jan 2026 requiring alignment with eTIMS, withholding tax and customs data.",https://www.kra.go.ke/news-center/public-notices/2323-validation-of-income-and-expenses-in-the-income-tax-returns
EVT-2025-0002,2025-12-29,policy_change,Excise,SME|Midmarket|Enterprise,4,Adjustment and imposition of excise duty rates under Tax Laws (Amendment) Act 2024.,https://www.kra.go.ke/news-center/public-notices
EVT-2025-0003,2025-12-19,policy_change,PAYE,SME|Midmarket|Enterprise,3,Amendments to PAYE computation under Tax Laws (Amendment) Act 2024 affecting employer deductions.,https://www.kra.go.ke/news-center/public-notices/2157-amendments-to-paye-computation-pursuant-to-the-tax-laws-amendment-act%2C-2024
EVT-2025-0004,2025-11-25,compliance_guidance,VAT,SME|Midmarket|Enterprise,3,Reminder on implementation of Electronic Tax Invoicing for fuel stations.,https://www.kra.go.ke/news-center/public-notices
EVT-2025-0005,2025-11-12,etims_update,Customs,SME|Midmarket|Enterprise,3,Automation of Bank Guarantees in iCMS for customs clearance processes.,https://www.kra.go.ke/news-center/public-notices
EVT-2025-0006,2025-11-10,policy_change,All,SME|Midmarket|Enterprise,4,Roll-out of Automated Payment Plan for managing outstanding tax liabilities.,https://www.kra.go.ke/news-center/public-notices
EVT-2025-0007,2025-08-12,policy_change,Income Tax,SME|Midmarket|Enterprise,4,Guidance on tax exemption on payment of gratuity affecting employment tax compliance.,https://www.kra.go.ke/news-center/public-notices
EVT-2025-0008,2025-07-12,policy_change,Excise,SME|Midmarket|Enterprise,4,Adjustment of excise duty rates by Finance Act 2025 impacting filing and payment compliance.,https://www.kra.go.ke/news-center/public-notices
EVT-2025-0009,2025-07-02,compliance_guidance,PAYE,SME|Midmarket,3,Simplification of PAYE return filing process introducing workflow changes.,https://www.kra.go.ke/news-center/public-notices
EVT-2025-0010,2025-06-02,policy_change,Customs,SME|Midmarket|Enterprise,3,Procedure changes for licensing bonded warehouses affecting import compliance.,https://www.kra.go.ke/news-center/public-notices
EVT-2025-0011,2025-01-17,policy_change,Income Tax,SME|Midmarket|Enterprise,2,"Fringe Benefit Tax, Deemed Interest Rate and Low Interest Benefit parameter updates.",https://www.kra.go.ke/news-center/public-notices/2162-fringe-benefit-tax%2C-deemed-interest-rate-and-low-interest-benefit-4
